Source Target Weight
226782 49572 26
71777 283423 26
38145 57484 26
314698 51948 26
164792 298693 26
164792 28372 26
453333 259708 26
164484 712066 26
164484 202280 26
10804 109138 26
28372 258409 26
28372 374035 26
334839 374035 26
283914 427915 26
283914 258409 26
233210 109138 26
49572 334156 26
55278 30844 26
55057 259708 26
410407 271355 26
410407 335813 26
67095 60920 26
259708 132873 26
265751 445495 26
203910 60920 26
378704 286671 26
394628 60920 26
397572 319455 26
431753 679902 26
364448 298 26
364448 213686 26
364448 334195 26
175501 109322 26
466435 284000 26
897927 1269072 26
204997 319455 26
284000 455426 26
244551 292753 26
2079038 165143 26
169957 115764 26
28351 1630458 26
250291 448319 25
250291 342626 25
250291 50197 25
250291 348706 25
165445 122757 25
444562 140865 25
444562 87160 25
12852 416091 25
12852 222880 25
110898 193426 25
371959 211092 25
405164 192358 25
211092 292751 25
307171 165975 25
249638 409056 25
192358 369556 25
192358 21967 25
163608 11704 25
163608 333722 25
163608 314698 25
163608 369556 25
180681 373314 25
181851 380474 25
195792 109322 25
237487 93696 25
237487 70734 25
237487 41599 25
40843 74417 25
308152 242693 25
308152 277800 25
150286 140865 25
